Value,Variable definition,Interaction Value,model Name,domain
Web application development,"['Application type', 'Development platform']",True,mixtral-8x22b-instruct,computer science
Cultural Festivals,"['Cultural Identity', 'Social Integration']",True,llama3-70b,sociology
Affordable Housing and Community Centers,"['Housing Market', 'Community Amenities']",True,mistral-7b-instruct,urban studies
Political Instability and Ethnic Tensions,"['Political Climate', 'Ethnic Relations']",True,mistral-7b-instruct,sociology
pediatric vaccination program,"['Preventive healthcare', 'Target demographic']",True,gpt-4-turbo,health
Imposter syndrome,"['Striving for excellence', 'Reaction to mistakes']",False,mixtral-8x7b-instruct,psychology
Thin film stress,"['Photolithography equipment condition', 'Wafer handling procedure']",False,mixtral-8x7b-instruct,semiconductor manufacturing
Suburban diversity,"['Suburban area', 'Diversity level']",True,mixtral-8x22b-instruct,sociology
Learning Disability,"['Cognitive Ability', 'Academic Achievement', 'Neuroplasticity']",True,llama3-70b,psychology
Empathy and active listening,"['Mindfulness level', 'Emotional regulation ability']",False,mixtral-8x22b-instruct,psychology
Share Buyback,"['Shareholder Returns', 'Company Financials']",True,mixtral-8x7b-instruct,finance
Distributed Database System,"['Database System Type', 'Database System Architecture']",True,llama3-70b,computer science
Metrology tool calibration,"['Process control accuracy', 'Device performance validation']",True,gpt-3.5-turbo,semiconductor manufacturing
Historic preservation regulations,"['Cultural heritage', 'Regulatory frameworks']",True,gpt-4-turbo,urban studies
Stock Market Crash and Recession,"['Stock Market', 'Economic Conditions']",True,mistral-7b-instruct,finance
Divorce,"['Family Structure', 'Emotional Well-being']",False,llama3-8b,sociology
Family Dynamics,"['Digital Literacy', 'Communication Patterns']",False,gpt-3.5-turbo,sociology
Cognitive Impairment,"['Cognitive Function', 'Neurological Status']",True,llama3-70b,health
Marriage Ceremony,"['Family Structure', 'Social Status']",True,llama3-8b,sociology
Mental Health Literacy,"['Knowledge', 'Attitudes']",True,llama3-8b,psychology
Neighborhood Watch,"['Community Cohesion', 'Crime Prevention']",True,llama3-70b,sociology
Youth Mentorship,"['Cultural Expression', 'Social Cohesion']",False,llama3-70b,sociology
Wave-Particle Duality,"['Frequency of Light', 'Electron Ejection']",False,gpt-3.5-turbo,physics
Sedentary Lifestyle,"['Sleep Quality', 'Circadian Rhythms']",False,llama3-70b,health
Education and Social Mobility,"['Urban Development', 'Environmental Quality']",False,mistral-7b-instruct,sociology
Gender Equality,"['Workplace Discrimination', 'Household Responsibilities']",True,gpt-3.5-turbo,sociology
diabetic diet plan,"['Treatment method', 'Health condition addressed']",False,gpt-4-turbo,health
Quantum Foam,"['Spin of the particle', 'Distance between particles']",False,llama3-8b,physics
Etching Process Optimization,"['Clean Room Class', 'Clean Room Temperature']",False,llama3-8b,semiconductor manufacturing
Mergers and Acquisitions,"['Compliance Requirements', 'Risk Management', 'Industry Standards']",False,llama3-70b,finance
diabetic diet plan,"['Disease management', 'Nutritional strategy']",True,gpt-4-turbo,health
Neurotransmitter imbalance,"['Brain chemistry', 'Mood regulation']",True,gpt-3.5-turbo,health
Migration and Ethnic Integration,"['Technological Progress', 'Employment Situation']",False,mistral-7b-instruct,sociology
mindfulness meditation practice,"['Coping Mechanisms', 'Emotional Support']",False,gpt-4-turbo,psychology
Gentrification,"['Socioeconomic Status', 'Housing Market']",True,gpt-3.5-turbo,urban studies
Cybersecurity Threat Detection,"['Threat Detection Method', 'Threat Detection Type']",True,llama3-70b,computer science
Presence of public art installations,"['Public space quality', 'Community engagement']",True,mixtral-8x7b-instruct,urban studies
Smoking and Alcohol Consumption,"['Smoking Status', 'Alcohol Consumption']",True,mixtral-8x7b-instruct,health
Database Query Optimization,"['Memory Usage', 'CPU Load']",False,llama3-8b,computer science
Family Dynamics,"['Parenting Style', 'Household Roles']",True,gpt-3.5-turbo,sociology
Coping Strategies,"['Anxiety', 'Resilience']",True,gpt-3.5-turbo,psychology
Metrology tool calibration,"['Wet cleaning process effectiveness', 'Surface preparation quality']",False,gpt-3.5-turbo,semiconductor manufacturing
Quantitative Easing and Currency War,"['Stock Market', 'Stock Market']",False,mistral-7b-instruct,finance
Foreign Exchange Rate,"['Industry Disruption', 'Competitive Advantage']",False,gpt-3.5-turbo,finance
Widespread use of smart city technologies,"['Climate change resilience', 'Liveability']",False,mixtral-8x7b-instruct,urban studies
Single mother households,"['Marital status', 'Household type']",True,mixtral-8x7b-instruct,sociology
Frequency and wavelength of a wave,"['Frequency', 'Energy']",False,mistral-7b-instruct,physics
Natural Disaster,"['Geographic Location', 'Economic Indicator']",True,llama3-8b,finance
Cloud-Based Data Storage,"['Data Analytics Speed', 'Data Analytics Type']",False,llama3-70b,computer science
Electromagnetic Pulse,"['Intensity of the pulse', 'Duration of the pulse']",True,llama3-8b,physics
Sustainable Energy Grids,"['Urban Design', 'Community Development']",False,llama3-8b,urban studies
prenatal yoga classes,"['Healthcare intervention', 'Risk factor modification']",False,gpt-4-turbo,health
