Text1,Text2,Same Causal Variable,Variable Name,model Name,domain,text1_text2_cos_sim_text-embedding-3-large
High-Crime Area,Disaster-Prone Region,True,Public Safety,llama3-70b,urban studies,0.433
Noise Pollution Hotspot,Clean Air Zone,True,Environmental Quality,llama3-70b,urban studies,0.446
Post-War Bungalow,Historic Landmark,True,Building Architecture,llama3-70b,urban studies,0.291
Student Quarter,Retiree Enclave,True,Neighborhood Demographics,llama3-70b,urban studies,0.352
Lively Nightlife Scene,Historic Museum Quarter,True,Cultural Amenities,llama3-70b,urban studies,0.303
Well-Connected Highway,Waterway Access,True,Transportation Infrastructure,llama3-70b,urban studies,0.419
Tourist Destination,Agricultural Market,True,Economic Activity,llama3-70b,urban studies,0.237
Community-Led Initiative,City Council Governance,True,Urban Governance,llama3-70b,urban studies,0.313
High-Crime Area,Police Patrol Zone,True,Public Safety,llama3-70b,urban studies,0.437
Young Professional Community,Student Quarter,True,Neighborhood Demographics,llama3-70b,urban studies,0.36
Pedestrianized Streets,Public-Private Partnership,False,,llama3-70b,urban studies,0.258
Student Quarter,Inclusionary Zoning,False,,llama3-70b,urban studies,0.255
Family-Oriented Neighborhood,Waterway Access,False,,llama3-70b,urban studies,0.192
Vibrant Arts District,Clean Air Zone,False,,llama3-70b,urban studies,0.342
Safe Neighborhood Watch,Historic Landmark,False,,llama3-70b,urban studies,0.235
Noise Pollution Hotspot,Retiree Enclave,False,,llama3-70b,urban studies,0.222
Well-Connected Highway,Historic Museum Quarter,False,,llama3-70b,urban studies,0.12
Pedestrianized Streets,Historic Landmark,False,,llama3-70b,urban studies,0.234
Disaster-Prone Region,Lively Nightlife Scene,False,,llama3-70b,urban studies,0.203
Immigrant Settlement,Waterway Access,False,,llama3-70b,urban studies,0.192
Heat Engine,Ideal Gas,True,Thermodynamic System,llama3-70b,physics,0.393
Vacuum Flask,Ceramic Fiber,True,Thermal Insulator,llama3-70b,physics,0.31
Cryogenic Chamber,Refrigerator,True,Thermodynamic System,llama3-70b,physics,0.406
Radio Wave,Visible Light,True,Electromagnetic Wave,llama3-70b,physics,0.447
Radioactive Isotope,Solar Flare,True,Radiation Source,llama3-70b,physics,0.235
Earth's Gravity,Gravitational Wave,True,Gravitational Field,llama3-70b,physics,0.502
Fiberglass,Ceramic Fiber,True,Thermal Insulator,llama3-70b,physics,0.57
Tuning Fork,Vibrating Diaphragm,True,Mechanical Oscillator,llama3-70b,physics,0.445
Copper Wire,Aluminum Foil,True,Electrical Conductor,llama3-70b,physics,0.445
Glass Lens,Water,True,Optical Medium,llama3-70b,physics,0.236
Air,Ideal Gas,False,,llama3-70b,physics,0.339
Pendulum Clock,Gold Plating,False,,llama3-70b,physics,0.195
Tuning Fork,Laser Diode,False,,llama3-70b,physics,0.277
Vibrating Diaphragm,Refrigerator,False,,llama3-70b,physics,0.254
Air,Visible Light,False,,llama3-70b,physics,0.333
Ceramic Fiber,Solar Flare,False,,llama3-70b,physics,0.21
