variable definition,values
Programming Language,"['Object-Oriented', 'Functional', 'Declarative', 'Imperative', 'Scripting']"
Data Structure,"['Linked List', 'Binary Tree', 'Hash Table', 'Graph', 'Queue']"
Algorithm,"['Sorting', 'Searching', 'Dynamic Programming', 'Greedy', 'Backtracking']"
Operating System,"['Multi-tasking', 'Real-time', 'Distributed', 'Embedded', 'Time-sharing']"
Network Protocol,"['TCP/IP', 'HTTP', 'FTP', 'SMTP', 'UDP']"
Database Model,"['Relational', 'NoSQL', 'Graph', 'Document-oriented', 'Key-Value']"
Machine Learning Technique,"['Supervised Learning', 'Unsupervised Learning', 'Reinforcement Learning', 'Neural Networks', 'Decision Trees']"
Software Development Methodology,"['Agile', 'Waterfall', 'Scrum', 'DevOps', 'Lean']"
Cybersecurity Threat,"['Malware', 'Phishing', 'DDoS', 'Ransomware', 'Social Engineering']"
Web Development Framework,"['React', 'Angular', 'Vue.js', 'Django', 'Express.js']"
