Text1,Text2,Same Causal Variable,Variable Name,model Name,domain
Smart Grids,Wind Farms,True,Energy Efficiency,llama3-70b,urban studies
Low-Income Housing Projects,Affluent Neighborhoods,True,Socio-Economic Profile,llama3-70b,urban studies
Solar-Powered Neighborhoods,Wind Farms,True,Energy Efficiency,llama3-70b,urban studies
Landfills,Composting Plants,True,Waste Management Systems,llama3-70b,urban studies
Ethnic Enclaves,Historic Landmarks,True,Cultural Heritage,llama3-70b,urban studies
Bus Rapid Transit Systems,Freeway Interchanges,True,Transportation Infrastructure,llama3-70b,urban studies
Incinerators,Recycling Facilities,True,Waste Management Systems,llama3-70b,urban studies
Rural Villages,Low-Rise Suburbs,True,Urban Density,llama3-70b,urban studies
Wildfire-Prone Regions,Tsunami Evacuation Routes,True,Disaster Resilience,llama3-70b,urban studies
Low-Rise Suburbs,Skyscraper Districts,True,Urban Density,llama3-70b,urban studies
Middle-Class Suburbs,Wind Farms,False,,llama3-70b,urban studies
Energy-Efficient Buildings,Affluent Neighborhoods,False,,llama3-70b,urban studies
Hurricane-Proof Buildings,Wind Farms,False,,llama3-70b,urban studies
Rural Villages,Composting Plants,False,,llama3-70b,urban studies
Middle-Class Suburbs,Historic Landmarks,False,,llama3-70b,urban studies
Emergency Response Systems,Freeway Interchanges,False,,llama3-70b,urban studies
Smart Grids,Mountain Preserves,False,,llama3-70b,urban studies
Public Health Laboratories,Low-Income Housing Projects,False,,llama3-70b,urban studies
Historic Landmarks,Recycling Facilities,False,,llama3-70b,urban studies
Agricultural Lands,Bus Rapid Transit Systems,False,,llama3-70b,urban studies
Fission Reaction,Radioactive Decay,True,Nuclear Reaction,llama3-70b,physics
Collider,Synchrotron,True,Particle Accelerator,llama3-70b,physics
Gamma Rays,Alpha Particles,True,Type of Radiation,llama3-70b,physics
Cyclotron,Collider,True,Particle Accelerator,llama3-70b,physics
Black Hole,Terrestrial Planet,True,Celestial Body,llama3-70b,physics
Isochoric Cooling,Adiabatic Compression,True,Thermodynamic Process,llama3-70b,physics
Collider,Storage Ring,True,Particle Accelerator,llama3-70b,physics
Liquid Water,Bose-Einstein Condensate,True,State of Matter,llama3-70b,physics
Fusion Reaction,Neutron-Induced Reaction,True,Nuclear Reaction,llama3-70b,physics
Comet Impact,Lunar Eclipse,True,Astronomical Event,llama3-70b,physics
Strong Nuclear Force,Plasma State,False,,llama3-70b,physics
Isochoric Cooling,Radioactive Decay,False,,llama3-70b,physics
Synchrotron,Interference Fringes,False,,llama3-70b,physics
Neutron Beams,Synchrotron,False,,llama3-70b,physics
Linear Accelerator,Alpha Particles,False,,llama3-70b,physics
Cyclotron,Terrestrial Planet,False,,llama3-70b,physics
Proton-Induced Reaction,Adiabatic Compression,False,,llama3-70b,physics
Interference Fringes,Storage Ring,False,,llama3-70b,physics
Quantum Harmonic Oscillator,Bose-Einstein Condensate,False,,llama3-70b,physics
