variable definition,values
Type of Radiation,"['Gamma Rays', 'X-Rays', 'Alpha Particles', 'Beta Particles', 'Neutron Beams']"
State of Matter,"['Solid Ice', 'Liquid Water', 'Gaseous Vapor', 'Plasma State', 'Bose-Einstein Condensate']"
Celestial Body,"['Dwarf Planet', 'Gas Giant', 'Terrestrial Planet', 'Neutron Star', 'Black Hole']"
Force of Nature,"['Electromagnetic Force', 'Strong Nuclear Force', 'Weak Nuclear Force', 'Gravitational Force']"
Particle Accelerator,"['Linear Accelerator', 'Cyclotron', 'Synchrotron', 'Collider', 'Storage Ring']"
Thermodynamic Process,"['Isothermal Expansion', 'Adiabatic Compression', 'Isobaric Heating', 'Isochoric Cooling', 'Cyclic Process']"
Optical Phenomenon,"['Total Internal Reflection', 'Diffraction Pattern', 'Interference Fringes', 'Polarization', 'Scattering']"
Quantum Mechanical System,"['Harmonic Oscillator', 'Infinite Square Well', 'Finite Potential Barrier', 'Hydrogen Atom', 'Quantum Harmonic Oscillator']"
Astronomical Event,"['Solar Eclipse', 'Lunar Eclipse', 'Supernova Explosion', 'Gravitational Wave Detection', 'Comet Impact']"
Electrical Circuit Element,"['Resistor', 'Inductor', 'Capacitor', 'Diode', 'Transformer']"
Nuclear Reaction,"['Fission Reaction', 'Fusion Reaction', 'Radioactive Decay', 'Neutron-Induced Reaction', 'Proton-Induced Reaction']"
