Value,Variable definition,Interaction Value,model Name,domain
Green Infrastructure,"['Environmental Sustainability', 'Water Management']",True,llama3-8b,urban studies
Resilient Housing,"['Housing Policy', 'Disaster Response']",True,llama3-8b,urban studies
Smart Traffic Management Systems,"['Transportation Infrastructure', 'Data Analytics']",True,llama3-8b,urban studies
Digital Inclusion Initiatives,"['Digital Literacy', 'Community Outreach']",True,llama3-8b,urban studies
Inclusive Public Spaces,"['Urban Design', 'Community Development']",True,llama3-8b,urban studies
Urban Renewal Projects,"['Urban Planning', 'Community Engagement']",True,llama3-8b,urban studies
Sustainable Energy Grids,"['Energy Generation', 'Energy Distribution']",True,llama3-8b,urban studies
Cultural Heritage Preservation,"['Cultural Preservation', 'Community Engagement']",True,llama3-8b,urban studies
Innovative Waste Management,"['Waste Reduction', 'Waste Disposal']",True,llama3-8b,urban studies
Sustainable Transportation Options,"['Transportation Infrastructure', 'Alternative Modes']",True,llama3-8b,urban studies
Green Infrastructure,"['Housing Policy', 'Disaster Response']",False,llama3-8b,urban studies
Resilient Housing,"['Transportation Infrastructure', 'Alternative Modes']",False,llama3-8b,urban studies
Smart Traffic Management Systems,"['Environmental Sustainability', 'Water Management']",False,llama3-8b,urban studies
Digital Inclusion Initiatives,"['Housing Policy', 'Disaster Response']",False,llama3-8b,urban studies
Inclusive Public Spaces,"['Urban Planning', 'Community Engagement']",False,llama3-8b,urban studies
Green Infrastructure,"['Urban Design', 'Community Development']",False,llama3-8b,urban studies
Urban Renewal Projects,"['Urban Design', 'Community Development']",False,llama3-8b,urban studies
Sustainable Energy Grids,"['Urban Design', 'Community Development']",False,llama3-8b,urban studies
Urban Renewal Projects,"['Transportation Infrastructure', 'Data Analytics']",False,llama3-8b,urban studies
Cultural Heritage Preservation,"['Transportation Infrastructure', 'Data Analytics']",False,llama3-8b,urban studies
Quantum Entanglement,"['Spin of the particle', 'Distance between particles']",True,llama3-8b,physics
Quantum Flux,"['Energy of the particle', 'Frequency of the wave']",True,llama3-8b,physics
Gravitational Wave,"['Mass of the object', 'Distance from the observer']",True,llama3-8b,physics
Gravitational Lensing,"['Mass of the object', 'Distance from the observer']",True,llama3-8b,physics
Gravitational Wave Background,"['Energy density of the background', 'Frequency of the waves']",True,llama3-8b,physics
Quantum Foam,"['Energy of the particle', 'Distance between particles']",True,llama3-8b,physics
Electromagnetic Pulse,"['Intensity of the pulse', 'Duration of the pulse']",True,llama3-8b,physics
Magnetic Field,"['Charge of the particle', 'Direction of the field']",True,llama3-8b,physics
Thermal Radiation,"['Temperature of the object', 'Wavelength of the radiation']",True,llama3-8b,physics
Solar Wind,"['Speed of the wind', 'Direction of the wind']",True,llama3-8b,physics
Quantum Entanglement,"['Mass of the object', 'Distance from the observer']",False,llama3-8b,physics
Quantum Flux,"['Spin of the particle', 'Distance between particles']",False,llama3-8b,physics
Quantum Entanglement,"['Energy of the particle', 'Distance between particles']",False,llama3-8b,physics
Gravitational Wave,"['Mass of the object', 'Distance from the observer']",False,llama3-8b,physics
Gravitational Lensing,"['Mass of the object', 'Distance from the observer']",False,llama3-8b,physics
Gravitational Wave Background,"['Energy of the particle', 'Distance between particles']",False,llama3-8b,physics
Gravitational Wave Background,"['Mass of the object', 'Distance from the observer']",False,llama3-8b,physics
Quantum Foam,"['Spin of the particle', 'Distance between particles']",False,llama3-8b,physics
Quantum Flux,"['Speed of the wind', 'Direction of the wind']",False,llama3-8b,physics
Quantum Foam,"['Charge of the particle', 'Direction of the field']",False,llama3-8b,physics
Neurological Disorder,"['Symptoms', 'Brain Function']",True,llama3-8b,health
Pregnancy Complication,"['Fetal Development', 'Maternal Health']",True,llama3-8b,health
Mental Health Crisis,"['Symptoms', 'Cognitive Function']",True,llama3-8b,health
Hypertension Diagnosis,"['Blood Pressure', 'Cholesterol Levels']",True,llama3-8b,health
Infectious Disease Outbreak,"['Pathogen', 'Transmission Rate']",True,llama3-8b,health
Diabetes Complication,"['Blood Sugar Levels', 'Kidney Function']",True,llama3-8b,health
Cardiovascular Disease,"['Cholesterol Levels', 'Blood Pressure']",True,llama3-8b,health
Gastrointestinal Infection,"['Symptoms', 'Gastrointestinal Function']",True,llama3-8b,health
Cancer Diagnosis,"['Tumor Size', 'Metastasis']",True,llama3-8b,health
Respiratory Infection,"['Symptoms', 'Lung Function']",True,llama3-8b,health
Neurological Disorder,"['Fetal Development', 'Maternal Health']",False,llama3-8b,health
Pregnancy Complication,"['Blood Sugar Levels', 'Kidney Function']",False,llama3-8b,health
Mental Health Crisis,"['Blood Pressure', 'Cholesterol Levels']",False,llama3-8b,health
Hypertension Diagnosis,"['Symptoms', 'Gastrointestinal Function']",False,llama3-8b,health
