Text1,Text2,Same Causal Variable,Variable Name,model Name,domain
Smart Growth Initiative,Zoning Regulation,True,Urban Planning Policy,llama3-70b,urban studies
Recreational Space,Commercial Hub,True,Land Use Pattern,llama3-70b,urban studies
Post-War Bungalow,Historic Landmark,True,Building Architecture,llama3-70b,urban studies
Bike-Friendly Roads,Efficient Public Transit,True,Transportation Infrastructure,llama3-70b,urban studies
Art Deco Building,Post-War Bungalow,True,Building Architecture,llama3-70b,urban studies
Public-Private Partnership,Decentralized Administration,True,Urban Governance,llama3-70b,urban studies
Green Space Oasis,Noise Pollution Hotspot,True,Environmental Quality,llama3-70b,urban studies
Historic Museum Quarter,Lively Nightlife Scene,True,Cultural Amenities,llama3-70b,urban studies
Noise Pollution Hotspot,Toxic Waste Site,True,Environmental Quality,llama3-70b,urban studies
Family-Oriented Neighborhood,Student Quarter,True,Neighborhood Demographics,llama3-70b,urban studies
Disaster-Prone Region,Zoning Regulation,False,,llama3-70b,urban studies
Police Patrol Zone,Commercial Hub,False,,llama3-70b,urban studies
Police Patrol Zone,Historic Landmark,False,,llama3-70b,urban studies
Recreational Space,Efficient Public Transit,False,,llama3-70b,urban studies
Financial Hub,Post-War Bungalow,False,,llama3-70b,urban studies
Art Deco Building,Decentralized Administration,False,,llama3-70b,urban studies
Student Quarter,Noise Pollution Hotspot,False,,llama3-70b,urban studies
Retiree Enclave,Commercial Hub,False,,llama3-70b,urban studies
Toxic Waste Site,Lively Nightlife Scene,False,,llama3-70b,urban studies
Waterway Access,Emergency Response Hub,False,,llama3-70b,urban studies
Solenoid Coil,Bar Magnet,True,Magnetic Field,llama3-70b,physics
Fiberglass,Reflective Insulation,True,Thermal Insulator,llama3-70b,physics
Fixed Axis,Ideal Rigid Body,True,Kinematic Constraint,llama3-70b,physics
Styrofoam,Vacuum Flask,True,Thermal Insulator,llama3-70b,physics
Vacuum Flask,Ceramic Fiber,True,Thermal Insulator,llama3-70b,physics
Prism,Water,True,Optical Medium,llama3-70b,physics
Heat Engine,Refrigerator,True,Thermodynamic System,llama3-70b,physics
X-Ray Tube,Laser Diode,True,Radiation Source,llama3-70b,physics
Tidal Force,Gravitational Wave,True,Gravitational Field,llama3-70b,physics
Tidal Force,Black Hole,True,Gravitational Field,llama3-70b,physics
Vibrating Diaphragm,Bar Magnet,False,,llama3-70b,physics
Prism,Reflective Insulation,False,,llama3-70b,physics
Air,Ideal Rigid Body,False,,llama3-70b,physics
Gold Plating,Vacuum Flask,False,,llama3-70b,physics
Gold Plating,Ideal Gas,False,,llama3-70b,physics
Guitar String,Ceramic Fiber,False,,llama3-70b,physics
Laser Diode,Water,False,,llama3-70b,physics
Radio Wave,Refrigerator,False,,llama3-70b,physics
Ceramic Fiber,Laser Diode,False,,llama3-70b,physics
Prism,Gravitational Wave,False,,llama3-70b,physics
Sleepwalker,Nap Lover,True,Sleep Pattern,llama3-70b,health
Athletic Build,Underweight,True,Body Mass Index,llama3-70b,health
Flexitarian,Omnivore,True,Diet Type,llama3-70b,health
Factory Worker,Office Worker,True,Occupational Hazards,llama3-70b,health
Office Worker,Farmer,True,Occupational Hazards,llama3-70b,health
Obese,Underweight,True,Body Mass Index,llama3-70b,health
Factory Worker,Construction Worker,True,Occupational Hazards,llama3-70b,health
Firefighter,Healthcare Professional,True,Occupational Hazards,llama3-70b,health
Healthcare Professional,Factory Worker,True,Occupational Hazards,llama3-70b,health
Vegetarian,Pescatarian,True,Diet Type,llama3-70b,health
Prescription Follower,Nap Lover,False,,llama3-70b,health
Factory Worker,Underweight,False,,llama3-70b,health
Dose Adjuster,Omnivore,False,,llama3-70b,health
Flexitarian,Mountain Dweller,False,,llama3-70b,health
Chain Smoker,Office Worker,False,,llama3-70b,health
Non Smoker,Farmer,False,,llama3-70b,health
Prescription Follower,Underweight,False,,llama3-70b,health
Healthy Family,Construction Worker,False,,llama3-70b,health
Light Sleeper,Healthcare Professional,False,,llama3-70b,health
Desert Resident,Factory Worker,False,,llama3-70b,health
Deep Ultraviolet,Extreme Ultraviolet,True,Lithography Wavelength,llama3-70b,semiconductor manufacturing
Silicon Carbide,Silicon on Insulator,True,Type of Wafer Material,llama3-70b,semiconductor manufacturing
High-K Dielectric,Silicon Nitride,True,Dielectric Material Used,llama3-70b,semiconductor manufacturing
Flip Chip,System-in-Package,True,Packaging Technology,llama3-70b,semiconductor manufacturing
Nanowire,Gate-All-Around,True,Pattern of Transistor Gate,llama3-70b,semiconductor manufacturing
Silicon Dioxide,Low-K Dielectric,True,Dielectric Material Used,llama3-70b,semiconductor manufacturing
Gold,Tungsten,True,Type of Interconnect Metal,llama3-70b,semiconductor manufacturing
Low-K Dielectric,High-K Dielectric,True,Dielectric Material Used,llama3-70b,semiconductor manufacturing
Dry Etching,Plasma Etching,True,Type of Etching Process,llama3-70b,semiconductor manufacturing
KrF Excimer Laser,Argon Fluoride,True,Lithography Wavelength,llama3-70b,semiconductor manufacturing
System-in-Package,Extreme Ultraviolet,False,,llama3-70b,semiconductor manufacturing
Wet Etching,Silicon on Insulator,False,,llama3-70b,semiconductor manufacturing
Wire Bonding,Silicon Dioxide,False,,llama3-70b,semiconductor manufacturing
Chemical Vapor Deposition,Silicon Nitride,False,,llama3-70b,semiconductor manufacturing
Deep Ultraviolet,System-in-Package,False,,llama3-70b,semiconductor manufacturing
Copper,Gate-All-Around,False,,llama3-70b,semiconductor manufacturing
Class 1000,High-K Dielectric,False,,llama3-70b,semiconductor manufacturing
Bulk Silicon,Low-K Dielectric,False,,llama3-70b,semiconductor manufacturing
Copper,Plasma Etching,False,,llama3-70b,semiconductor manufacturing
Argon Fluoride,Reactive Ion Etching,False,,llama3-70b,semiconductor manufacturing
Denial of Service Attack,Ransomware Malware,True,Cybersecurity Threat,llama3-70b,computer science
Queue Data Type,Graph Theory Application,True,Data Structure,llama3-70b,computer science
Linear Time Complexity,Logarithmic Space Complexity,True,Computational Complexity,llama3-70b,computer science
Lean Software Development,Agile Project Management,True,Software Development Methodology,llama3-70b,computer science
Graph Theory Application,Tree Traversal Algorithm,True,Data Structure,llama3-70b,computer science
Linked List Implementation,Graph Theory Application,True,Data Structure,llama3-70b,computer science
Stack Overflow Handling,Tree Traversal Algorithm,True,Data Structure,llama3-70b,computer science
SQL Injection Attack,Denial of Service Attack,True,Cybersecurity Threat,llama3-70b,computer science
Harvard Architecture,Cache Memory Hierarchy,True,Computer Architecture,llama3-70b,computer science
Cache Memory Hierarchy,Von Neumann Architecture,True,Computer Architecture,llama3-70b,computer science
Deep Learning Neural Network,Graph Theory Application,False,,llama3-70b,computer science
Graph Theory Application,Logarithmic Space Complexity,False,,llama3-70b,computer science
RISC Instruction Set,Agile Project Management,False,,llama3-70b,computer science
RISC Instruction Set,Tree Traversal Algorithm,False,,llama3-70b,computer science
SMTP Email Protocol,Polynomial Time Algorithm,False,,llama3-70b,computer science
Cloud-Based Database,Graph Theory Application,False,,llama3-70b,computer science
Linear Time Complexity,Tree Traversal Algorithm,False,,llama3-70b,computer science
Deep Learning Neural Network,Denial of Service Attack,False,,llama3-70b,computer science
Augmented Reality Interface,Cache Memory Hierarchy,False,,llama3-70b,computer science
Python Syntax,Von Neumann Architecture,False,,llama3-70b,computer science
Couch Potato,Outdoor Adventurer,True,Leisure Activity,llama3-70b,sociology
Entrepreneur,Blue Collar Worker,True,Occupational Status,llama3-70b,sociology
Nuclear Family,Extended Family,True,Family Structure,llama3-70b,sociology
Sports Enthusiast,Outdoor Adventurer,True,Leisure Activity,llama3-70b,sociology
Ethnic Minority,Immigrant Community,True,Cultural Identity,llama3-70b,sociology
Close-Knit Community,Loose Acquaintances,True,Social Network,llama3-70b,sociology
Long-Term Resident,Recent Migrant,True,Residential Mobility,llama3-70b,sociology
Single Parent Household,Nuclear Family,True,Family Structure,llama3-70b,sociology
Bachelor's Degree,Master's Degree,True,Education Level,llama3-70b,sociology
Online Network,Isolated Individual,True,Social Network,llama3-70b,sociology
Counterculture,Outdoor Adventurer,False,,llama3-70b,sociology
Isolated Individual,Extended Family,False,,llama3-70b,sociology
Unemployed,Outdoor Adventurer,False,,llama3-70b,sociology
Artistic Pursuits,Poverty Line,False,,llama3-70b,sociology
Socialist,Immigrant Community,False,,llama3-70b,sociology
White Collar Worker,Recent Migrant,False,,llama3-70b,sociology
Socialist,Couch Potato,False,,llama3-70b,sociology
Suburban Area,Nuclear Family,False,,llama3-70b,sociology
