Text1,Text2,Generated Same Causal Variable,Predicted Same Causal Variable,Generated Variable Name,Predicted Variable Name,Data Generation Model,Prediction Model,Domain,Explanation
Smart Growth Initiative,Zoning Regulation,True,True,Urban Planning Policy,Land Use Regulation,llama3-70b,lora_70b_en_v0_alt,urban studies,
Recreational Space,Commercial Hub,True,False,Land Use Pattern,,llama3-70b,lora_70b_en_v0_alt,urban studies,
Post-War Bungalow,Historic Landmark,True,False,Building Architecture,,llama3-70b,lora_70b_en_v0_alt,urban studies,
Bike-Friendly Roads,Efficient Public Transit,True,False,Transportation Infrastructure,,llama3-70b,lora_70b_en_v0_alt,urban studies,
Art Deco Building,Post-War Bungalow,True,,Building Architecture,,llama3-70b,lora_70b_en_v0_alt,urban studies,"1, 1, 1, Architectural Style, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,"
Public-Private Partnership,Decentralized Administration,True,False,Urban Governance,,llama3-70b,lora_70b_en_v0_alt,urban studies,
Green Space Oasis,Noise Pollution Hotspot,True,,Environmental Quality,,llama3-70b,lora_70b_en_v0_alt,urban studies,"1, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN"
Historic Museum Quarter,Lively Nightlife Scene,True,False,Cultural Amenities,,llama3-70b,lora_70b_en_v0_alt,urban studies,
Noise Pollution Hotspot,Toxic Waste Site,True,False,Environmental Quality,,llama3-70b,lora_70b_en_v0_alt,urban studies,
Family-Oriented Neighborhood,Student Quarter,True,False,Neighborhood Demographics,,llama3-70b,lora_70b_en_v0_alt,urban studies,
Disaster-Prone Region,Zoning Regulation,False,False,,,llama3-70b,lora_70b_en_v0_alt,urban studies,
Police Patrol Zone,Commercial Hub,False,False,,,llama3-70b,lora_70b_en_v0_alt,urban studies,
Police Patrol Zone,Historic Landmark,False,False,,,llama3-70b,lora_70b_en_v0_alt,urban studies,
Recreational Space,Efficient Public Transit,False,False,,,llama3-70b,lora_70b_en_v0_alt,urban studies,
Financial Hub,Post-War Bungalow,False,,,,llama3-70b,lora_70b_en_v0_alt,urban studies,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,"
Art Deco Building,Decentralized Administration,False,False,,,llama3-70b,lora_70b_en_v0_alt,urban studies,
Student Quarter,Noise Pollution Hotspot,False,,,,llama3-70b,lora_70b_en_v0_alt,urban studies,"1, 0, 0, NaN, NaN, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
Retiree Enclave,Commercial Hub,False,False,,,llama3-70b,lora_70b_en_v0_alt,urban studies,
Toxic Waste Site,Lively Nightlife Scene,False,False,,,llama3-70b,lora_70b_en_v0_alt,urban studies,
Waterway Access,Emergency Response Hub,False,,,,llama3-70b,lora_70b_en_v0_alt,urban studies,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,"
Solenoid Coil,Bar Magnet,True,False,Magnetic Field,,llama3-70b,lora_70b_en_v0_alt,physics,
Fiberglass,Reflective Insulation,True,True,Thermal Insulator,Insulation Type,llama3-70b,lora_70b_en_v0_alt,physics,
Fixed Axis,Ideal Rigid Body,True,False,Kinematic Constraint,,llama3-70b,lora_70b_en_v0_alt,physics,
Styrofoam,Vacuum Flask,True,False,Thermal Insulator,,llama3-70b,lora_70b_en_v0_alt,physics,
Vacuum Flask,Ceramic Fiber,True,False,Thermal Insulator,,llama3-70b,lora_70b_en_v0_alt,physics,
Prism,Water,True,False,Optical Medium,,llama3-70b,lora_70b_en_v0_alt,physics,
Heat Engine,Refrigerator,True,False,Thermodynamic System,,llama3-70b,lora_70b_en_v0_alt,physics,
X-Ray Tube,Laser Diode,True,False,Radiation Source,,llama3-70b,lora_70b_en_v0_alt,physics,
Tidal Force,Gravitational Wave,True,False,Gravitational Field,,llama3-70b,lora_70b_en_v0_alt,physics,
Tidal Force,Black Hole,True,,Gravitational Field,,llama3-70b,lora_70b_en_v0_alt,physics,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,"
Vibrating Diaphragm,Bar Magnet,False,False,,,llama3-70b,lora_70b_en_v0_alt,physics,
Prism,Reflective Insulation,False,False,,,llama3-70b,lora_70b_en_v0_alt,physics,
Air,Ideal Rigid Body,False,,,,llama3-70b,lora_70b_en_v0_alt,physics,"0, 0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,"
Gold Plating,Vacuum Flask,False,,,,llama3-70b,lora_70b_en_v0_alt,physics,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
