,label,labels
0,impeachment in the United States,['impeachment in the United States']
1,impeachment,"['impeach', 'impeachment', 'impeachment process', 'ministerial responsibility']"
2,emerging communicable disease,"['Communicable Diseases, Emerging', 'emerging communicable disease', 'emerging infectious disease']"
3,energy crisis,['energy crisis']
4,looting,"['despoiling', 'despoliation', 'looting', 'pillaging', 'plundering', 'ransack', 'sack', 'sacking']"
5,volcanic eruption,"['eruption', 'volcanic eruption', 'volcano eruption']"
6,tsunami,['tsunami']
7,statutory law,"['statute law', 'statutory law']"
8,economic crisis,"['economic crisis', 'economic decline']"
9,financial crisis,"['economic crisis', 'economical crisis', 'economy crisis', 'financial crisis']"
10,arson,"['arson', 'arsonry', 'fire-raising', 'incendiarism']"
11,epidemic,"['epidemic', 'outbreak']"
12,aircraft crash,"['aeroplane crash', 'air crash', 'aircraft crash', 'airplane crash', 'helicopter crash']"
13,school shooting,['school shooting']
14,infectious disease,"['Clinical Infection', 'ID', 'Infectious', 'Infectious Diseases and Manifestations', 'Infectious Disorder', 'communicable disease', 'disease by infectious agent', 'infection', 'infectious disease', 'pestilence']"
15,scandal,"['affair', 'scandal']"
16,fraud,['fraud']
17,disease outbreak,"['disease outbreak', 'outbreak']"
18,work accident,"['Accidents, Occupational', 'accident at work', 'occupational accident', 'work accident', 'workplace accident']"
19,industrial disaster,"['industrial accident', 'industrial disaster', 'industrial incident']"
20,mass shooting,['mass shooting']
21,risk factor,['risk factor']
22,theft,"['heist', 'stealing', 'theft', 'thievery', 'thieving']"
23,procession,"['juloos', 'procession']"
24,bomb attack,"['bomb attack', 'bombing']"
25,earthquake,"['earth quake', 'earthquakes', 'quake', 'temblor', 'tremor']"
26,armed conflict,"['armed conflict', 'conflict', 'military conflict']"
27,war,"['War', 'conflict', 'hostilities', 'military conflict', 'wars']"
28,shortage,"['demand surplus', 'economic shortage', 'excess demand', 'shortage']"
29,massacre,"['mass execution', 'mass murder', 'massacre', 'slaughter']"
30,mass murder,"['mass killing', 'mass murder', 'soree murders', 'spree murder']"
31,attack,['attack']
32,aviation accident,"['air accident', 'aircraft accident', 'aviation accident', 'helicopter crash', 'plane crash']"
33,accident,"['accident', 'misadventure', 'misfortune', 'mishap']"
34,coup d'état,"['coup', ""coup d'état"", 'golpe', 'overthrow', 'putsch']"
35,regime change,"['Regime change', 'change of political regime', 'change of regime', 'political regime change', 'revolution']"
36,suicide,"['killed by self', 'self-killing', 'self-murder', 'suicide']"
37,civil disorder,"['civil disorder', 'civil strife', 'civil unrest', 'social unrest']"
38,riot,['riot']
39,demonstration,"['demonstration', 'protest', 'protest event', 'rally', 'street protest']"
40,protest,"['conflict of power', 'demonstration', 'dissent', 'power conflict', 'protest', 'protest movements']"
41,natural disaster,"['natural calamity', 'natural disaster', 'natural hazard']"
42,disaster,"['calamity', 'catastrophe', 'disaster']"
43,social issue,"['social ill', 'social issue', 'social problem']"
44,crime,"['crime', 'criminal offence', 'hoodlum', 'offence']"
45,murder,"['2nd degree murder', 'aggravated murder [Illinois]', 'criminal homicide [Pennsylvania]', 'iced', 'murder', 'murder 1', 'murder one', 'murder two', 'second degree murder']"
46,homicide,"['homicide', 'murder']"
47,hazard,['hazard']
48,explosion,"['bang', 'blast', 'boom', 'burst', 'explosion']"
49,conflict,"['conflict', 'conflict (psychological)', 'conflict, psychological', 'disagreement', 'dispute', 'psychological conflict']"
