variable definition,values
Type of exercise,"['Yoga', 'Running', 'Swimming', 'Weightlifting', 'Pilates']"
Dietary preference,"['Vegan', 'Keto', 'Paleo', 'Mediterranean', 'Flexitarian']"
Sleep pattern,"['Early riser', 'Night owl', 'Light sleeper', 'Deep sleeper', 'Napper']"
Stress coping mechanism,"['Meditation', 'Journaling', 'Exercise', 'Socializing', 'Nature walks']"
Hydration level,"['Adequately hydrated', 'Dehydrated', 'Over-hydrated', 'Thirsty', 'Hydrated with electrolytes']"
Sun exposure,"['Sunscreen user', 'Sun avoider', 'Sun lover', 'Intermittent exposure', 'Daily exposure']"
Screen time habits,"['Minimal screen time', 'Heavy screen user', 'Balanced usage', 'Digital detoxer', 'Screen-free evenings']"
Social interaction preference,"['Extrovert', 'Introvert', 'Social butterfly', 'Selective socializer', 'Solitude seeker']"
Caffeine consumption,"['Coffee drinker', 'Tea enthusiast', 'Energy drink consumer', 'Decaf only', 'Caffeine-free']"
Cooking style,"['Home chef', 'Meal prepper', 'Takeout lover', 'Recipe experimenter', 'Microwave master']"
