variable definition,values
Energy of motion,"['Kinetic energy', 'Potential energy', 'Mechanical energy', 'Thermal energy', 'Chemical energy']"
Force carriers,"['Photon', 'Gluon', 'W boson', 'Z boson', 'Graviton']"
Quantum properties,"['Superposition', 'Entanglement', 'Tunneling', 'Decoherence', 'Wave-particle duality']"
Fundamental particles,"['Quark', 'Lepton', 'Boson', 'Neutrino', 'Muon']"
Electromagnetic interactions,"['Electric field', 'Magnetic field', 'Electromagnetic radiation', 'Coulomb force', 'Lorentz force']"
Thermodynamic processes,"['Adiabatic expansion', 'Isothermal compression', 'Heat transfer', 'Work done', 'Entropy change']"
Nuclear reactions,"['Fusion', 'Fission', 'Alpha decay', 'Beta decay', 'Neutron capture']"
Wave phenomena,"['Interference', 'Diffraction', 'Resonance', 'Dispersion', 'Polarization']"
Relativistic effects,"['Time dilation', 'Length contraction', 'Mass-energy equivalence', 'Lorentz transformations', 'Relativistic momentum']"
Quantum field theory,"['Vacuum fluctuations', 'Renormalization', 'Feynman diagrams', 'Quantum electrodynamics', 'Quantum chromodynamics']"
