variable definition,values
The amount of matter in an object,"['dense core', 'lightweight shell', 'medium density']"
The ability of an object to resist changes in its motion,"['inertia', 'momentum', 'massive']"
The force that opposes the relative motion of surfaces in contact,"['friction', 'slippery', 'sticky']"
The energy stored in an object due to its position or configuration,"['potential energy', 'stored energy', 'gravitational pull']"
The measure of disorder or randomness in a system,"['entropy', 'ordered state', 'chaotic']"
The resistance of a fluid to flow,"['viscosity', 'thick fluid', 'flow resistance']"
The rate of change of an object's position with respect to time,"['velocity', 'speeding up', 'constant motion']"
The force that opposes the motion of an object through a fluid,"['drag force', 'aerodynamic resistance', 'fluid friction']"
The measure of the average kinetic energy of particles in a substance,"['temperature', 'thermal energy', 'heat intensity']"
The force that attracts two objects toward each other,"['gravity', 'gravitational pull', 'universal attraction']"
