,label,labels
0,impeachment in the United States,['impeachment in the United States']
1,impeachment,"['impeach', 'impeachment', 'impeachment process', 'ministerial responsibility']"
2,emerging communicable disease,"['Communicable Diseases, Emerging', 'emerging communicable disease', 'emerging infectious disease']"
3,energy crisis,['energy crisis']
4,looting,"['despoiling', 'despoliation', 'looting', 'pillaging', 'plundering', 'ransack', 'sack', 'sacking']"
5,volcanic eruption,"['eruption', 'volcanic eruption', 'volcano eruption']"
6,tsunami,['tsunami']
7,statutory law,"['statute law', 'statutory law']"
8,economic crisis,"['economic crisis', 'economic decline']"
9,financial crisis,"['economic crisis', 'economical crisis', 'economy crisis', 'financial crisis']"
10,arson,"['arson', 'arsonry', 'fire-raising', 'fireraising', 'incendiarism']"
11,epidemic,"['epidemic', 'epidemics', 'outbreak']"
12,aircraft crash,"['aeroplane crash', 'air crash', 'aircraft crash', 'aircrash', 'airplane crash', 'helicopter crash']"
13,school shooting,['school shooting']
14,infectious disease,"['Clinical Infection', 'ID', 'Infectious', 'Infectious Diseases and Manifestations', 'Infectious Disorder', 'communicable disease', 'communicable diseases', 'disease by infectious agent', 'infection', 'infectious disease', 'infectious diseases', 'pestilence']"
15,scandal,"['affair', 'scandal', 'scandals']"
16,fraud,['fraud']
17,disease outbreak,"['disease outbreak', 'disease outbreaks', 'outbreak']"
18,work accident,"['Accidents, Occupational', 'accident at work', 'occupational accident', 'work accident', 'workplace accident']"
19,industrial disaster,"['industrial accident', 'industrial disaster', 'industrial disasters', 'industrial incident']"
20,mass shooting,['mass shooting']
21,risk factor,"['risk factor', 'risk factors']"
22,theft,"['heist', 'stealing', 'theft', 'thievery', 'thieving']"
23,procession,"['juloos', 'procession']"
24,bomb attack,"['bomb attack', 'bombing']"
25,earthquake,"['earth quake', 'earth quakes', 'earthquake', 'earthquakes', 'quake', 'temblor', 'tremor']"
26,armed conflict,"['armed conflict', 'conflict', 'military conflict']"
27,war,"['War', 'conflict', 'hostilities', 'military conflict', 'war', 'wars']"
28,shortage,"['demand surplus', 'economic shortage', 'excess demand', 'shortage']"
29,massacre,"['mass execution', 'mass executions', 'mass murder', 'massacre', 'massacres', 'slaughter', 'slaughters']"
30,mass murder,"['mass killing', 'mass killings', 'mass murder', 'mass murders', 'soree murders', 'spree murder']"
31,attack,['attack']
32,aviation accident,"['air accident', 'aircraft accident', 'aviation accident', 'helicopter crash', 'plane crash']"
33,accident,"['accident', 'accidents', 'misadventure', 'misfortune', 'mishap']"
34,coup d'état,"['coup', ""coup d'état"", 'coups', ""coups d'état"", 'golpe', 'overthrow', 'putsch']"
35,regime change,"['Regime change', 'change of political regime', 'change of regime', 'political regime change', 'regime change', 'revolution']"
36,suicide,"['killed by self', 'self-killing', 'self-murder', 'suicide']"
37,civil disorder,"['civil disorder', 'civil strife', 'civil unrest', 'social unrest']"
38,riot,"['riot', 'riots']"
39,demonstration,"['demonstration', 'protest', 'protest event', 'rally', 'street protest']"
40,protest,"['conflict of power', 'demonstration', 'demonstrations', 'dissent', 'dissents', 'power conflict', 'protest', 'protest movements', 'protests']"
41,natural disaster,"['natural calamity', 'natural disaster', 'natural hazard']"
42,disaster,"['calamity', 'catastrophe', 'disaster', 'disasters']"
43,social issue,"['social ill', 'social issue', 'social problem', 'social problems']"
44,crime,"['crime', 'criminal offence', 'criminal offense', 'hoodlum', 'offence', 'offense']"
45,murder,"['2nd degree murder', 'aggravated murder [Illinois]', 'criminal homicide [Pennsylvania]', 'iced', 'murder', 'murder 1', 'murder 2', 'murder one', 'murder two', 'murders', 'second degree murder', 'second-degree murder']"
46,homicide,"['homicide', 'murder']"
47,hazard,['hazard']
48,explosion,"['bang', 'blast', 'boom', 'burst', 'explosion']"
49,conflict,"['conflict', 'conflicts', 'disagreement', 'disagreements', 'dispute', 'disputes', 'psychological conflict']"
