Text1,Text2,Same Causal Variable,domain,text1_text2_cos_sim_text-embedding-3-large
mass killing,2nd degree murder,False,wiki_causal,0.374
impeach,ministerial responsibility,True,wiki_causal,0.227
social issue,conflict,False,wiki_causal,0.4
impeachment,impeachment process,True,wiki_causal,0.784
dissent,misfortune,False,wiki_causal,0.288
impeachment,ministerial responsibility,True,wiki_causal,0.276
air accident,school shooting,False,wiki_causal,0.303
"Communicable Diseases, Emerging",emerging communicable disease,True,wiki_causal,0.785
Infectious Diseases and Manifestations,attack,False,wiki_causal,0.146
"Communicable Diseases, Emerging",emerging infectious disease,True,wiki_causal,0.689
mass killing,affair,False,wiki_causal,0.208
emerging communicable disease,emerging infectious disease,True,wiki_causal,0.829
fire-raising,impeach,False,wiki_causal,0.209
despoliation,ransack,True,wiki_causal,0.453
murder,disease outbreak,False,wiki_causal,0.253
looting,ransack,True,wiki_causal,0.51
shortage,hostilities,False,wiki_causal,0.254
ransack,sack,True,wiki_causal,0.48
disease by infectious agent,bombing,False,wiki_causal,0.128
eruption,volcanic eruption,True,wiki_causal,0.722
fraud,impeachment,False,wiki_causal,0.359
volcanic eruption,volcano eruption,True,wiki_causal,0.905
disagreement,homicide,False,wiki_causal,0.227
eruption,volcano eruption,True,wiki_causal,0.725
financial crisis,slaughter,False,wiki_causal,0.132
statute law,statutory law,True,wiki_causal,0.87
impeachment process,emerging communicable disease,False,wiki_causal,0.149
economic crisis,economic decline,True,wiki_causal,0.71
thievery,impeachment in the United States,False,wiki_causal,0.194
economical crisis,economy crisis,True,wiki_causal,0.869
volcanic eruption,Clinical Infection,False,wiki_causal,0.14
economical crisis,financial crisis,True,wiki_causal,0.727
aeroplane crash,risk factor,False,wiki_causal,0.157
economic crisis,financial crisis,True,wiki_causal,0.865
energy crisis,ID,False,wiki_causal,0.112
arson,incendiarism,True,wiki_causal,0.657
impeachment in the United States,mass executions,False,wiki_causal,0.205
arson,arsonry,True,wiki_causal,0.821
attack,outbreak,False,wiki_causal,0.431
fire-raising,incendiarism,True,wiki_causal,0.679
financial crisis,emerging infectious disease,False,wiki_causal,0.253
epidemic,outbreak,True,wiki_causal,0.656
riot,temblor,False,wiki_causal,0.202
aeroplane crash,air crash,True,wiki_causal,0.759
occupational accident,armed conflict,False,wiki_causal,0.29
aeroplane crash,helicopter crash,True,wiki_causal,0.655
fraud,demand surplus,False,wiki_causal,0.196
aircraft crash,helicopter crash,True,wiki_causal,0.711
putsch,riot,False,wiki_causal,0.272
Clinical Infection,Infectious Diseases and Manifestations,True,wiki_causal,0.541
misadventure,affair,False,wiki_causal,0.445
ID,pestilence,True,wiki_causal,0.16
scandal,mass shooting,False,wiki_causal,0.217
Infectious,infection,True,wiki_causal,0.57
workplace accident,temblor,False,wiki_causal,0.162
affair,scandal,True,wiki_causal,0.535
bombing,economic crisis,False,wiki_causal,0.288
disease outbreak,outbreak,True,wiki_causal,0.765
helicopter crash,dissents,False,wiki_causal,0.116
"Accidents, Occupational",occupational accident,True,wiki_causal,0.72
school shooting,2nd degree murder,False,wiki_causal,0.31
occupational accident,work accident,True,wiki_causal,0.805
epidemic,fraud,False,wiki_causal,0.284
accident at work,workplace accident,True,wiki_causal,0.828
looting,fraud,False,wiki_causal,0.386
industrial accident,industrial disaster,True,wiki_causal,0.8
murder,school shooting,False,wiki_causal,0.406
industrial accident,industrial incident,True,wiki_causal,0.833
ministerial responsibility,risk factor,False,wiki_causal,0.174
industrial disaster,industrial incident,True,wiki_causal,0.795
social problems,civil strife,False,wiki_causal,0.377
heist,thieving,True,wiki_causal,0.581
conflict of power,industrial accident,False,wiki_causal,0.175
theft,thieving,True,wiki_causal,0.723
mass killing,social ill,False,wiki_causal,0.307
stealing,thievery,True,wiki_causal,0.709
natural hazard,air crash,False,wiki_causal,0.349
juloos,procession,True,wiki_causal,0.164
emerging communicable disease,attack,False,wiki_causal,0.197
bomb attack,bombing,True,wiki_causal,0.742
murder,social ill,False,wiki_causal,0.281
quake,temblor,True,wiki_causal,0.555
riots,outbreak,False,wiki_causal,0.404
earth quake,tremor,True,wiki_causal,0.468
iced,catastrophe,False,wiki_causal,0.21
earth quake,temblor,True,wiki_causal,0.556
attack,catastrophe,False,wiki_causal,0.348
armed conflict,military conflict,True,wiki_causal,0.773
self-killing,impeach,False,wiki_causal,0.171
conflict,military conflict,True,wiki_causal,0.635
bomb attack,mass killings,False,wiki_causal,0.334
armed conflict,conflict,True,wiki_causal,0.58
calamity,airplane crash,False,wiki_causal,0.291
War,military conflict,True,wiki_causal,0.472
excess demand,school shooting,False,wiki_causal,0.119
War,hostilities,True,wiki_causal,0.387
fraud,procession,False,wiki_causal,0.208
conflict,military conflict,True,wiki_causal,0.635
golpe,attack,False,wiki_causal,0.401
economic shortage,excess demand,True,wiki_causal,0.516
overthrow,riots,False,wiki_causal,0.348
demand surplus,shortage,True,wiki_causal,0.482
impeachment in the United States,emerging infectious disease,False,wiki_causal,0.144
excess demand,shortage,True,wiki_causal,0.562
hazard,scandal,False,wiki_causal,0.356
mass execution,massacre,True,wiki_causal,0.671
quake,fraud,False,wiki_causal,0.216
mass executions,massacre,True,wiki_causal,0.643
