variable definition,values
Level of education,"['Primary school graduate', 'High school graduate', ""Bachelor's degree holder"", ""Master's degree holder"", 'Doctoral degree holder']"
Occupation,"['Factory worker', 'Teacher', 'Engineer', 'Doctor', 'Lawyer']"
Religion,"['Buddhist', 'Christian', 'Muslim', 'Hindu', 'Atheist']"
Ethnicity,"['Caucasian', 'African American', 'Hispanic', 'Asian', 'Native American']"
Marital status,"['Single', 'Married', 'Divorced', 'Widowed', 'Separated']"
Political affiliation,"['Democrat', 'Republican', 'Independent', 'Libertarian', 'Green Party']"
Social class,"['Upper class', 'Middle class', 'Working class', 'Lower class', 'Underclass']"
Age group,"['Child', 'Adolescent', 'Young adult', 'Middle-aged adult', 'Older adult']"
Gender,"['Male', 'Female', 'Non-binary', 'Transgender', 'Agender']"
Geographic location,"['Urban', 'Suburban', 'Rural', 'Coastal', 'Mountainous']"
