Text1,Text2,Same Causal Variable,Variable Name,model Name,domain
Redis,Cassandra,True,Database Management System,mixtral-8x22b-instruct,computer science
Entrepreneur,Blue Collar Worker,True,Occupational Status,llama3-70b,sociology
Very High,Very Low,True,Crime Rate: The frequency of reported crimes in a city.,mistral-7b-instruct,urban studies
Friendship Network: The group of individuals with whom one has a close personal relationship.,Family Network: The group of individuals related by blood or marriage.,True,Social Networks: The set of social relationships among individuals or groups.,mistral-7b-instruct,sociology
Regular doctor checkups,Annual health screenings,True,Healthcare access quality,gpt-4-turbo,health
Outgoing,High self-esteem,False,,mixtral-8x7b-instruct,psychology
Four-Dimensional Space,One-Dimensional Space,True,Space,llama3-8b,physics
Entrepreneur,Professional,True,Occupation,mixtral-8x22b-instruct,sociology
Reading-Writing Learner,Kinesthetic Learner,True,Learning Style,llama3-70b,psychology
future-mindedness,excitement-seeking,False,,mixtral-8x22b-instruct,psychology
Poverty Line,Upper Middle Class,True,Income Level,llama3-8b,sociology
Harvard Architecture,Cache Memory Hierarchy,True,Computer Architecture,llama3-70b,computer science
Temperature Mapping,Stable Temperature,True,Temperature Control,gpt-3.5-turbo,semiconductor manufacturing
vandalism and graffiti,street muggings,True,Prevalent public safety issues,gpt-4-turbo,urban studies
Forward Dividend Yield: The next expected dividend payment divided by the current stock price.,Trailing Dividend Yield: The most recent dividend payment divided by the current stock price.,True,Dividend Yield: A financial ratio that shows how much a company pays out in dividends each year relative to its stock price.,mistral-7b-instruct,finance
stable interest rate period,central bank rate hikes,True,Interest Rate Environment,gpt-4-turbo,finance
Never married,Bachelor's degree recipient,False,,gpt-3.5-turbo,sociology
Office Worker,Farmer,True,Occupational Hazards,llama3-70b,health
Relative Time,Boiling Point,False,,llama3-8b,physics
Emotion-Focused,Self-Aware,True,Emotional Regulation,llama3-8b,psychology
Online Network,Isolated Individual,True,Social Network,llama3-70b,sociology
Artistic Pursuits,Poverty Line,False,,llama3-70b,sociology
Dispersion,Magnetic field,False,,gpt-3.5-turbo,physics
Prescription Follower,Underweight,False,,llama3-70b,health
Religion: A social institution that provides a system of beliefs and practices related to the supernatural.,Family Network: The group of individuals related by blood or marriage.,False,,mistral-7b-instruct,sociology
Bachelor's degree recipient,Ph.D. holder,True,Educational Attainment,gpt-3.5-turbo,sociology
