variable definition,values
Algorithm Complexity: The time or space requirements of an algorithm as a function of the input size.,"['Bubble Sort Complexity: O(n^2)', 'Quick Sort Complexity: O(n log n)', 'Merge Sort Complexity: O(n log n)']"
"Programming Paradigm: A set of concepts, practices, and techniques that a programming language supports.","['Procedural Programming: Pascal, C, Fortran', 'Object-Oriented Programming: Java, C++, Python', 'Functional Programming: Haskell, Lisp, Erlang']"
Database Normalization Form: A process to eliminate redundant data and dependencies among the tables in a database.,"['First Normal Form (1NF)', 'Second Normal Form (2NF)', 'Third Normal Form (3NF)']"
Software Development Methodology: A systematic approach to developing high-quality software.,"['Waterfall Model: Linear sequential development', 'Agile Methodology: Iterative and incremental development', 'DevOps: Continuous delivery and collaboration between development and operations teams']"
Operating System: Software that manages computer hardware and software resources.,"['Microsoft Windows', 'Linux', 'macOS']"
Programming Language: A formal language designed for expressing instructions to a computer.,"['Python: High-level, interpreted language', 'Java: Object-oriented, platform-independent language', 'C++: Object-oriented, compiled language']"
"Data Structure: A specialized format for organizing, storing, and retrieving data.","['Linked List: A collection of nodes, each containing a data element and a reference to the next node', 'Stack: A Last-In-First-Out (LIFO) data structure', 'Queue: A First-In-First-Out (FIFO) data structure']"
Computer Architecture: The design of a computer system.,"['Von Neumann Architecture: A single memory for both data and instructions', 'Harvard Architecture: Separate memory for data and instructions', 'RISC (Reduced Instruction Set Computer) Architecture: A simplified instruction set']"
Network Topology: The arrangement of various elements (nodes and connecting lines) in a computer network.,"['Star Topology: All nodes connected to a central hub', 'Bus Topology: All nodes connected to a single communication line', 'Mesh Topology: Each node connected to multiple other nodes']"
Hardware Component: A physical part of a computer system.,"['Central Processing Unit (CPU): The brain of the computer', 'Random Access Memory (RAM): Temporary data storage', 'Hard Disk Drive (HDD): Permanent data storage']"
