Value,Variable definition,Interaction Value,model Name,domain,text1_text2_cos_sim_text-embedding-3-large
Public Art Installations,"['Urban Aesthetics', 'Community Engagement']",True,llama3-70b,urban studies,0.421
Urban Renewal Projects,"['Urban Development', 'Economic Incentives']",True,llama3-70b,urban studies,0.459
Pedestrian-Friendly Infrastructure,"['Transportation Infrastructure', 'Urban Design']",True,llama3-70b,urban studies,0.48
Disaster-Prone Areas,"['Environmental Risks', 'Emergency Response']",True,llama3-70b,urban studies,0.409
Mixed-Use Development,"['Urban Planning', 'Economic Activity']",True,llama3-70b,urban studies,0.301
Innovation Hubs,"['Economic Activity', 'Education and Research']",True,llama3-70b,urban studies,0.303
Food Deserts,"['Food Access', 'Neighborhood Characteristics']",True,llama3-70b,urban studies,0.485
Public Transportation Hubs,"['Urban Density', 'Transportation Infrastructure']",True,llama3-70b,urban studies,0.462
Cultural Heritage Sites,"['Urban History', 'Tourism']",True,llama3-70b,urban studies,0.339
Green Spaces,"['Urban Ecology', 'Land Use']",True,llama3-70b,urban studies,0.445
Public Art Installations,"['Urban Density', 'Transportation Infrastructure']",False,llama3-70b,urban studies,0.208
Urban Renewal Projects,"['Environmental Risks', 'Emergency Response']",False,llama3-70b,urban studies,0.195
Pedestrian-Friendly Infrastructure,"['Environmental Risks', 'Emergency Response']",False,llama3-70b,urban studies,0.166
Disaster-Prone Areas,"['Urban History', 'Tourism']",False,llama3-70b,urban studies,0.193
Mixed-Use Development,"['Urban Density', 'Transportation Infrastructure']",False,llama3-70b,urban studies,0.28
Innovation Hubs,"['Environmental Risks', 'Emergency Response']",False,llama3-70b,urban studies,0.17
Food Deserts,"['Urban Ecology', 'Land Use']",False,llama3-70b,urban studies,0.259
Pedestrian-Friendly Infrastructure,"['Food Access', 'Neighborhood Characteristics']",False,llama3-70b,urban studies,0.332
Public Transportation Hubs,"['Urban Development', 'Economic Incentives']",False,llama3-70b,urban studies,0.303
Mixed-Use Development,"['Urban Aesthetics', 'Community Engagement']",False,llama3-70b,urban studies,0.308
Gravitational Wave,"['Type of Gravitational Phenomenon', 'Ripple in Space-Time']",True,llama3-70b,physics,0.571
Cosmic Microwave Background,"['Type of Cosmic Radiation', 'Evidence of the Big Bang']",True,llama3-70b,physics,0.504
Thermal Expansion,"['Type of Material Deformation', 'Response to Temperature Change']",True,llama3-70b,physics,0.485
Electromagnetic Pulse,"['Type of Radiation', 'Form of Electromagnetic Radiation']",True,llama3-70b,physics,0.339
Magnetic Field Line,"['Type of Magnetic Structure', 'Path of Magnetic Force']",True,llama3-70b,physics,0.534
Gravitational Redshift,"['Gravitational Effect', 'Type of Redshift']",True,llama3-70b,physics,0.661
Nuclear Reaction,"['Type of Subatomic Interaction', 'Process of Nuclear Change']",True,llama3-70b,physics,0.494
Optical Fiber,"['Type of Communication Medium', 'Method of Data Transmission']",True,llama3-70b,physics,0.311
Quantum Fluctuation,"['Type of Random Variation', 'Source of Uncertainty']",True,llama3-70b,physics,0.328
Electromagnetic Induction,"['Type of Electromagnetic Phenomenon', 'Method of Generating Electricity']",True,llama3-70b,physics,0.5
Gravitational Wave,"['Type of Communication Medium', 'Method of Data Transmission']",False,llama3-70b,physics,0.117
Cosmic Microwave Background,"['Type of Random Variation', 'Source of Uncertainty']",False,llama3-70b,physics,0.16
Thermal Expansion,"['Type of Subatomic Interaction', 'Process of Nuclear Change']",False,llama3-70b,physics,0.193
Thermal Expansion,"['Type of Radiation', 'Form of Electromagnetic Radiation']",False,llama3-70b,physics,0.224
Electromagnetic Pulse,"['Type of Electromagnetic Phenomenon', 'Method of Generating Electricity']",False,llama3-70b,physics,0.391
Magnetic Field Line,"['Type of Gravitational Phenomenon', 'Ripple in Space-Time']",False,llama3-70b,physics,0.294
Gravitational Redshift,"['Type of Cosmic Radiation', 'Evidence of the Big Bang']",False,llama3-70b,physics,0.278
Gravitational Redshift,"['Type of Random Variation', 'Source of Uncertainty']",False,llama3-70b,physics,0.123
Nuclear Reaction,"['Type of Gravitational Phenomenon', 'Ripple in Space-Time']",False,llama3-70b,physics,0.225
Optical Fiber,"['Type of Gravitational Phenomenon', 'Ripple in Space-Time']",False,llama3-70b,physics,0.166
Nutrient Deficiency,"['Dietary Intake', 'Nutrient Status']",True,llama3-70b,health,0.45
Social Isolation,"['Social Connections', 'Emotional Support']",True,llama3-70b,health,0.411
Medication Non-Adherence,"['Medication Compliance', 'Treatment Efficacy']",True,llama3-70b,health,0.525
Chronic Stress,"['Mental Health Status', 'Coping Mechanisms']",True,llama3-70b,health,0.35
Cognitive Impairment,"['Cognitive Function', 'Neurological Status']",True,llama3-70b,health,0.482
Sedentary Lifestyle,"['Physical Activity Level', 'Lifestyle Habits']",True,llama3-70b,health,0.458
Environmental Toxins Exposure,"['Environmental Exposure', 'Toxicant Levels']",True,llama3-70b,health,0.703
Cardiovascular Disease Diagnosis,"['Disease Status', 'Cardiovascular Health']",True,llama3-70b,health,0.457
Sleep Disturbances,"['Sleep Quality', 'Circadian Rhythms']",True,llama3-70b,health,0.482
Infectious Disease Outbreak,"['Infection Status', 'Disease Transmission']",True,llama3-70b,health,0.508
Nutrient Deficiency,"['Mental Health Status', 'Coping Mechanisms']",False,llama3-70b,health,0.193
Social Isolation,"['Medication Compliance', 'Treatment Efficacy']",False,llama3-70b,health,0.116
Medication Non-Adherence,"['Environmental Exposure', 'Toxicant Levels']",False,llama3-70b,health,0.207
Chronic Stress,"['Sleep Quality', 'Circadian Rhythms']",False,llama3-70b,health,0.279
Nutrient Deficiency,"['Infection Status', 'Disease Transmission']",False,llama3-70b,health,0.208
Cognitive Impairment,"['Dietary Intake', 'Nutrient Status']",False,llama3-70b,health,0.214
Sedentary Lifestyle,"['Sleep Quality', 'Circadian Rhythms']",False,llama3-70b,health,0.245
Environmental Toxins Exposure,"['Sleep Quality', 'Circadian Rhythms']",False,llama3-70b,health,0.196
Nutrient Deficiency,"['Environmental Exposure', 'Toxicant Levels']",False,llama3-70b,health,0.266
Medication Non-Adherence,"['Mental Health Status', 'Coping Mechanisms']",False,llama3-70b,health,0.261
Titanium Nitride Barrier Layer,"['Barrier Layer Material', 'Diffusion Barrier Application']",True,llama3-70b,semiconductor manufacturing,0.544
Tungsten Via Fill,"['Via Fill Material', 'Via Fill Method']",True,llama3-70b,semiconductor manufacturing,0.63
Plasma Enhanced Chemical Vapor Deposition,"['Dielectric Material Deposition Method', 'Dielectric Material']",True,llama3-70b,semiconductor manufacturing,0.458
Laser Annealing,"['Dopant Activation Method', 'Thermal Budget Control']",True,llama3-70b,semiconductor manufacturing,0.402
Chemical Mechanical Polishing,"['Wafer Planarization Method', 'Material Removal Technique']",True,llama3-70b,semiconductor manufacturing,0.478
Gate Oxide Formation,"['Gate Dielectric Material', 'Gate Oxide Formation Method']",True,llama3-70b,semiconductor manufacturing,0.559
Wafer Edge Bead Removal,"['Wafer Edge Treatment', 'Defect Reduction Method']",True,llama3-70b,semiconductor manufacturing,0.611
Photoresist Strip and Clean,"['Photoresist Removal Method', 'Wafer Cleaning Method']",True,llama3-70b,semiconductor manufacturing,0.589
Copper Interconnect Fabrication,"['Interconnect Material', 'Interconnect Fabrication Method']",True,llama3-70b,semiconductor manufacturing,0.563
Rapid Thermal Annealing,"['Dopant Activation Method', 'Thermal Budget Control']",True,llama3-70b,semiconductor manufacturing,0.438
Titanium Nitride Barrier Layer,"['Gate Dielectric Material', 'Gate Oxide Formation Method']",False,llama3-70b,semiconductor manufacturing,0.382
Tungsten Via Fill,"['Dopant Activation Method', 'Thermal Budget Control']",False,llama3-70b,semiconductor manufacturing,0.318
Plasma Enhanced Chemical Vapor Deposition,"['Interconnect Material', 'Interconnect Fabrication Method']",False,llama3-70b,semiconductor manufacturing,0.292
