Text1,Text2,Same Causal Variable,Variable Name,model Name,domain
High-Crime Area,Disaster-Prone Region,True,Public Safety,llama3-70b,urban studies
Noise Pollution Hotspot,Clean Air Zone,True,Environmental Quality,llama3-70b,urban studies
Post-War Bungalow,Historic Landmark,True,Building Architecture,llama3-70b,urban studies
Student Quarter,Retiree Enclave,True,Neighborhood Demographics,llama3-70b,urban studies
Lively Nightlife Scene,Historic Museum Quarter,True,Cultural Amenities,llama3-70b,urban studies
Well-Connected Highway,Waterway Access,True,Transportation Infrastructure,llama3-70b,urban studies
Tourist Destination,Agricultural Market,True,Economic Activity,llama3-70b,urban studies
Community-Led Initiative,City Council Governance,True,Urban Governance,llama3-70b,urban studies
High-Crime Area,Police Patrol Zone,True,Public Safety,llama3-70b,urban studies
Young Professional Community,Student Quarter,True,Neighborhood Demographics,llama3-70b,urban studies
Pedestrianized Streets,Public-Private Partnership,False,,llama3-70b,urban studies
Student Quarter,Inclusionary Zoning,False,,llama3-70b,urban studies
Family-Oriented Neighborhood,Waterway Access,False,,llama3-70b,urban studies
Vibrant Arts District,Clean Air Zone,False,,llama3-70b,urban studies
Safe Neighborhood Watch,Historic Landmark,False,,llama3-70b,urban studies
Noise Pollution Hotspot,Retiree Enclave,False,,llama3-70b,urban studies
Well-Connected Highway,Historic Museum Quarter,False,,llama3-70b,urban studies
Pedestrianized Streets,Historic Landmark,False,,llama3-70b,urban studies
Disaster-Prone Region,Lively Nightlife Scene,False,,llama3-70b,urban studies
Immigrant Settlement,Waterway Access,False,,llama3-70b,urban studies
Heat Engine,Ideal Gas,True,Thermodynamic System,llama3-70b,physics
Vacuum Flask,Ceramic Fiber,True,Thermal Insulator,llama3-70b,physics
Cryogenic Chamber,Refrigerator,True,Thermodynamic System,llama3-70b,physics
Radio Wave,Visible Light,True,Electromagnetic Wave,llama3-70b,physics
Radioactive Isotope,Solar Flare,True,Radiation Source,llama3-70b,physics
Earth's Gravity,Gravitational Wave,True,Gravitational Field,llama3-70b,physics
Fiberglass,Ceramic Fiber,True,Thermal Insulator,llama3-70b,physics
Tuning Fork,Vibrating Diaphragm,True,Mechanical Oscillator,llama3-70b,physics
Copper Wire,Aluminum Foil,True,Electrical Conductor,llama3-70b,physics
Glass Lens,Water,True,Optical Medium,llama3-70b,physics
Air,Ideal Gas,False,,llama3-70b,physics
Pendulum Clock,Gold Plating,False,,llama3-70b,physics
Tuning Fork,Laser Diode,False,,llama3-70b,physics
Vibrating Diaphragm,Refrigerator,False,,llama3-70b,physics
Air,Visible Light,False,,llama3-70b,physics
Ceramic Fiber,Solar Flare,False,,llama3-70b,physics
Laser Diode,Gravitational Wave,False,,llama3-70b,physics
